Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
688256,Cambricon,0.0661,1281.46,+79.46,74,0,20003878.0,24705957244.0,480.487,Loss,0.0,79.357,1220.0,1202.0,1310.15,1172.0,1281.46,1281.61,238,200,4.78%,0.04%,0.1149,1.12,0.6152000000000001,Semiconductors,536099078047.04,536099078047.04,418350224.0,418350224.0,-0.1414,0.0308,0.8497,1.1185,0.6906,4.1835,0.9475,,,,,,,,1,138.1500000000001,1254.5366666666666,1,0,1,,25.896973073377076,Liquid,11695354.51364458,,,,,,,,,,,,,,0.038001098901098894
002594,BYD Company Limited,0.0313,107.26,+3.26,33,0,787524.0,8307907947.57,23.211,24.294,0.0124,4.646,103.86,104.0,107.5,103.11,107.26,107.27,1183,204,2.26%,-0.02%,0.042199999999999994,0.82,-0.2183,Passenger Cars,977910610821.90,374041557934.98,9117197565.0,3487241823.0,-0.0596,-0.030699999999999998,0.032,-0.0592,-0.1349,0.3667,0.15460000000000002,,,,,,,,0,4.390000000000001,105.95666666666666,1,0,0,,25.373236883587328,Liquid,701416.5922551272,,,,,,,,,,,,,,0.013985714285714271
688981,Semiconductor Manufacturing International Corporation,0.0,114.76,0.00,25,1,0.0,0.0,210.568,247.861,0.0,6.076,0.0,114.76,0.0,0.0,0.0,0.0,0,0,0.00%,0.00%,0.0,0.0,0.0,Semiconductors,916616734717.44,228184093644.04,7987249344.0,1988359129.0,0.1038,0.24960000000000002,0.2998,0.35710000000000003,0.18460000000000001,1.3203,0.21289999999999998,,,,,,,,,114.76,38.25333333333334,1,0,,,,,,,,,,,,,,,,,,,0.038001098901098894
300750,Contemporary Amperex Technology,0.0693,325.11,+21.08,23,-1,708198.0,22440211715.74,25.399,29.212,0.0171,5.102,299.9,304.03,325.11,299.82,325.11,325.12,160,3,1.67%,0.03%,0.0832,1.29,0.5484,Batteries,1482423781670.40,1382555315947.53,4559760640.0,4252577023.0,0.061799999999999994,0.1321,0.2386,0.3152,0.2677,0.8351999999999999,0.2541,,,,,,,,1,25.29000000000002,316.68,1,0,1,,26.373130061096948,Liquid,708198.0,,,,,,,,,,,,,,0.0947242857142857
300274,Sungrow Power Supply,0.1667,135.34,+19.34,13,10,1699411.0,21711174865.83,20.315,25.425,0.008,6.596,116.19,116.0,137.66,116.19,135.34,135.35,5,30,10.69%,0.24%,0.18510000000000001,1.61,0.8584999999999999,Photovoltaic Equipment,280588434124.16,215151276827.66,2073211424.0,1589709449.0,0.3552,0.38299999999999995,0.6586,1.1686,0.9997,0.9231999999999999,0.8601000000000001,,,,,,,,1,21.659999999999997,129.73,1,0,1,,25.582794342124032,Liquid,1332141.9250116453,,,,,,,,,,,,,,0.06964186046511626
601138,Foxconn Industrial Internet,0.0508,55.83,+2.70,13,5,3390913.0,18175746989.0,41.695,47.758,0.0115,7.31,53.3,53.13,57.2,50.6,55.82,55.83,3,12,1.71%,0.83%,0.1242,1.18,0.1746,Consumer Electronics,1108754074209.78,1108682304465.63,19859467566.0,19858182061.0,0.037200000000000004,0.2182,0.5257999999999999,1.7557,1.7076,1.8659999999999999,1.6764,,,,,,,,1,6.600000000000001,54.54333333333333,1,0,1,,25.559750421071158,Liquid,1983170.3303030257,,,,,,,,,,,,,,0.03916730769230768
300502,"Eoptolink Technology Inc.,",0.119,349.25,+37.15,12,0,846435.0,27865858063.24,58.677,122.286,0.0009,28.643,321.0,312.1,354.0,310.0,349.24,349.25,109,89,9.56%,0.01%,0.141,1.07,0.6336999999999999,Telecommunication Equipment,347054926031.00,309139175345.00,993714892.0,885151540.0,-0.0195,0.2755,0.9159999999999999,2.4908,4.2361,4.0459,3.2469,,,,,,,,1,44.0,337.75,1,0,1,,26.357603771457526,Liquid,663681.9886363636,,,,,,,,,,,,,,0.040924999999999996
600519,Kweichow Moutai,0.0069999999999999,1483.0,+10.34,12,-3,37388.0,5519312163.0,20.649,21.537,0.0348,7.982,1471.0,1472.66,1486.97,1464.0,1482.86,1483.0,1,20,0.30%,0.00%,0.015600000000000001,0.73,-0.6093999999999999,Liquor,1857116728845.00,1857116728845.00,1252270215.0,1252270215.0,0.002,0.013000000000000001,0.0437,0.059800000000000006,-0.07339999999999999,0.09,-0.009000000000000001,,,,,,,0,0,22.970000000000027,1477.99,1,0,0,,25.6623239820888,Liquid,24464.15498476266,,0.7,,,,0.7,Imminent,,,,,,,0.005462499999999981
601288,Agricultural Bank Of China,-0.0293,7.3,-0.22,10,-3,6241182.0,4589002390.0,8.946,9.057,0.0332,0.953,7.45,7.52,7.49,7.24,7.29,7.3,16013,5433,0.20%,0.00%,0.0332,1.08,0.7265999999999999,Large State-Owned Banks,2554876147272.90,2330482738672.10,349983033873.0,319244210777.0,0.039900000000000005,0.0,0.08789999999999999,0.3335,0.4704,0.5605,0.43189999999999995,,,,,,,,1,0.27999999999999936,7.343333333333334,0,0,0,,23.71995925584699,Liquid,-3245414.6400000197,,,,,0.8,0.8,Momentum,,,,,,,-0.019316666666666666
300450,Wuxi Lead Intelligent Equipment,0.2001,53.8,+8.97,9,41,3108747.0,16106069973.59,148.618,293.989,0.001,6.849,47.01,44.83,53.8,47.01,53.8,0.0,122117,0,19.94%,0.00%,0.1515,1.63,1.0,Batteries,84259571229.20,83896492729.40,1566163034.0,1559414363.0,0.5151,0.8493999999999999,1.0853,1.4516999999999998,1.2909,2.4433000000000002,1.6947999999999999,,,,,,,,1,8.969999999999999,51.53666666666667,1,0,0,,,,3108747.0,,,,,,,,,,,,,,0.0947242857142857
